College Name,Category
"Dhanalakshmi Srinivasan Medical College and Hospital, Siruvachur",Medical
"Dhanalakshmi Srinivasan Engineering College, Perambalur",Engineering
"Srinivasan Engineering College, Perambalur",Engineering
"Roever Engineering College, Elambalur",Engineering
"Dhanalakshmi Srinivasan Institute of Research and Technology (DSIRT), Siruvachur",Engineering
"Thanthai Roever Institute of Agriculture and Rural Development (TRIARD), Perambalur",Agriculture
"Thanthai Hans Roever College (Autonomous), Perambalur",Arts and Science
"Dhanalakshmi Srinivasan College of Arts and Science for Women, Perambalur",Arts and Science
"Srinivasan College of Arts and Science, Perambalur",Arts and Science
"Government Arts and Science College, Kurumbalur",Arts and Science
"Government Arts and Science College, Veppanthattai",Arts and Science
"Dhanalakshmi Srinivasan College of Nursing, Perambalur",Nursing
"Srinivasan Nursing College, Perambalur",Nursing
"Thanthai Roever College of Nursing, Perambalur",Nursing
"Dhanalakshmi Srinivasan College of Pharmacy, Perambalur",Paramedical
"Thanthai Roever College of Pharmacy, Perambalur",Paramedical
"Srinivasan Polytechnic College, Perambalur",Polytechnic
"Roever Institute of Polytechnic, Perambalur",Polytechnic
"Sri Ramakrishna College of Education, Perambalur",B.Ed
"Eden Maharishi College of Education, Perambalur",B.Ed
"Christian College of Education, Perambalur",B.Ed
"Swami Vivekananda College of Education, Perambalur",B.Ed
"Dhanalakshmi Srinivasan College of Education, Perambalur",B.Ed
"Roever College of Education, Perambalur",B.Ed
"Dhanalakshmi Srinivasan College of Physical Education, Perambalur",Physical Education
"Roever Institute of Management, Perambalur",Management
