College Name,Category
Government Dharmapuri Medical College,Medical
"Government College of Engineering, Dharmapuri",Engineering
"Jayalakshmi Institute of Technology, Thoppur",Engineering
"P.S.V. College of Engineering and Technology, Mittapalli",Engineering
"Varuvan Vadivelan Institute of Technology, Dharmapuri",Engineering
"Government Arts College, Dharmapuri",Arts and Science
"Don Bosco College, Dharmapuri",Arts and Science
"Laxmi Narayana Arts and Science College, Dharmapuri",Arts and Science
"Kamadhenu College of Arts and Science, Dharmapuri",Arts and Science
"Pachamuthu College of Arts and Science for Women, Dharmapuri",Arts and Science
"Government Arts and Science College, Pennagaram",Arts and Science
"Government Arts and Science College, Karimangalam",Arts and Science
"Government Arts and Science College, Pappireddipatti",Arts and Science
"Government Arts and Science College, Harur",Arts and Science
"Government Polytechnic College, Kadathur",Polytechnic
"Government Polytechnic College, Dharmapuri",Polytechnic
"Er. Perumal Manimekalai Polytechnic College, Hosur (Dharmapuri border)",Polytechnic
"Varuvan Vadivelan Polytechnic College, Dharmapuri",Polytechnic
"Sapthagiri College of Education, Dharmapuri",B.Ed
"Government College of Education, Dharmapuri",B.Ed
"Pachamuthu College of Education, Dharmapuri",B.Ed
Dharmapuri Medical College - College of Nursing,Nursing
"P.S.V. College of Nursing, Dharmapuri",Nursing
"Om Sakthi College of Nursing, Dharmapuri",Nursing
