College Name,Category
"Government Mohan Kumaramangalam Medical College, Salem",Medical
"Vinayaka Mission's Kirupananda Variyar Medical College and Hospitals, Salem",Medical
"Annapoorana Medical College and Hospitals, Salem",Medical
"Periyar University, Salem",University
"Vinayaka Mission's Research Foundation (Deemed to be University), Salem",University
"Government College of Engineering, Salem",Engineering
"Sona College of Technology, Salem",Engineering
"Knowledge Institute of Technology (KIOT), Kakapalayam",Engineering
"Dhirajlal Gandhi College of Technology (DGCT), Omalur",Engineering
"AVS Engineering College, Ammapet",Engineering
"AVS College of Technology, Salem",Engineering
"VSA Group of Institutions, Salem",Engineering
"Narasu's Sarathy Institute of Technology, Poosaripatty",Engineering
"Salem College of Engineering and Technology, Salem",Engineering
"Annapoorana Engineering College, Salem",Engineering
"Sri Ganesh College of Engineering and Technology, Salem",Engineering
"Government Arts College (Autonomous), Salem",Arts and Science
"Government Arts College for Women, Salem",Arts and Science
"Salem Sowdeswari College, Salem",Arts and Science
"Sri Sarada College for Women (Autonomous), Salem",Arts and Science
"Jairam Arts and Science College, Salem",Arts and Science
"AVS College of Arts and Science, Salem",Arts and Science
"Bharathiyar Arts and Science College for Women, Deviyakurichi",Arts and Science
"Vysya College, Salem",Arts and Science
"Padmavani Arts and Science College for Women, Salem",Arts and Science
"Shri Sakthikailassh Women's College, Salem",Arts and Science
"Arignar Anna Government Arts College, Attur",Arts and Science
"Periyar University Constituent College of Arts and Science, Idappadi",Arts and Science
"Government Law College, Salem",Law
"Government Mohan Kumaramangalam College of Nursing, Salem",Nursing
"Salem Polyclinic College of Nursing, Salem",Nursing
"Shanmuga College of Nursing, Salem",Nursing
"Sri Sarada College of Education, Salem",B.Ed
"Vysya College of Education, Salem",B.Ed
"Ganesh College of Education, Salem",B.Ed
"Thiagarajar Polytechnic College, Salem",Polytechnic
"CSI Polytechnic College, Salem",Polytechnic
"Murugesan Institute of Technology Polytechnic College, Salem",Polytechnic
